Fiscal Year,Area,Subsidiary,Product,Reported Subsegment,Forecast Planning Level,1,2,3,4,5,6,7,8,9,10,11,12,,,,
FY19,WE,Austria,SQL Server Standard & CAL,EPG Commercial,EA Renewal,296692.9739,,167.076,4081.174,39.108,74294.9535,59888.1,1134.8274,333343.61,57580.578,,312128.574,,,,
FY19,WE,Austria,System Center Client,EPG Commercial,EA Renewal,50082.2737,,,2796.5809,358.153,9362.3922,6140.0057,,-868.5011,51024.9579,,42816.8512,,,,
FY19,WE,Austria,System Center Server,EPG Commercial,EA Renewal,53816.8834,,18.696,3167.002,-13907.4864,4320.05,16218.078,,60.9,7451.58,,14348.234,,,,
FY19,WE,Austria,Visio,EPG Commercial,EA Renewal,46215.9441,,637.44,2773.456,14775.1664,1513.56,13203.818,4947.1265,29857.56,9090.4,,87032.432,,,,
FY19,WE,Austria,Windows Client,EPG Commercial,EA Renewal,549819.495,,1221.3201,39427.0163,6165.3357,73611.8735,133734.4308,16552.6655,322952.2443,90531.5072,,1192276.874,,,,
FY19,WE,Austria,Windows Server & Solutions & CAL,EPG Commercial,EA Renewal,102757.9674,,843.12,7214.794,552.088,46699.7,35590.968,4626.964,79177.58,43587.14,,298935.194,,,,
FY19,WE,Austria,Windows Server Other,EPG Commercial,EA Renewal,14729.0641,,13.68,856.8,,18914,2906.3,,23623.98,14680.8,,101347.24,,,,
FY19,WE,Austria,Windows Server Premium,EPG Commercial,EA Renewal,135222.3325,,121.804,3997.91,72.862,27858.54,31449.816,120.1353,-11726.88,27724.426,,155551.868,,,,
FY19,WE,Austria,Biztalk Server,EPG Commercial,EA Subscription Non Recurring,1825.26,,,2099.049,,25341.32,1962.1545,,,1962.1545,,,,,,
FY19,WE,Austria,Developer Tools,EPG Commercial,EA Subscription Non Recurring,12331,,,14375.1616,,109203.86,13353.0808,,,13353.0808,70595.584,241300.05,,,,
FY19,WE,Austria,Dynamics CRM,EPG Commercial,EA Subscription Non Recurring,5676.276,,,6618.089,,,6147.1825,,3298.64,6147.1825,,2279.392,,,,
FY19,WE,Austria,Exchange Server & CAL,EPG Commercial,EA Subscription Non Recurring,1117.8063,,11226.4,1304.7849,,4685.2,1211.2956,,,30333.9898,2361.792,1770.576,,,,
FY19,WE,Austria,Forefront Protection,EPG Commercial,EA Subscription Non Recurring,372.75,,,369.9602,,,335.2351,,,335.2351,,57.84,,,,
FY19,WE,Austria,Identity & Direct Access,EPG Commercial,EA Subscription Non Recurring,4273.6545,,,4993.8981,,5933.076,4633.7763,,,19254.4052,9128.216,28573.182,,,,
FY19,WE,Austria,IW CAL Suites - Core CAL,EPG Commercial,EA Subscription Non Recurring,,,,,,150546.0096,,,,9289.6744,116038.794,297754.8353,,,,
FY19,WE,Austria,IW CAL Suites - ECAL,EPG Commercial,EA Subscription Non Recurring,39644.1795,,,46221.4919,0.0001,,42932.8357,,,42932.8357,,,,,,
FY19,WE,Austria,Lync Server & CAL,EPG Commercial,EA Subscription Non Recurring,528.3763,,,613.7279,,4622.4,571.0521,,,8609.4141,44461.968,76338.716,,,,
FY19,WE,Austria,MDOP-Client,EPG Commercial,EA Subscription Non Recurring,767.808,,,895.194,,,831.501,,,1175.7476,4271.4521,8114.4793,,,,
FY19,WE,Austria,Office,EPG Commercial,EA Subscription Non Recurring,118975.088,,95355.44,81959.984,-4594.5366,355318.76,73831.224,,,102111.0119,363761.7162,1208269.228,,,,
FY19,WE,Austria,Office 365,EPG Commercial,EA Subscription Non Recurring,,,,,,,,,,,,153648,,,,
FY19,WE,Austria,Other Server,EPG Commercial,EA Subscription Non Recurring,4392.9,,,5116.5586,,,4754.7293,,,4754.7293,,,,,,
FY19,WE,Austria,Project,EPG Commercial,EA Subscription Non Recurring,14228.59,,9913.34,16583.182,,10340.24,15405.886,,,15405.886,3628.08,33474.944,,,,
FY19,WE,Austria,S&T CAL Suites - Core CAL,EPG Commercial,EA Subscription Non Recurring,,,,,,84682.1304,,,,5225.4419,65267.8678,198567.8379,,,,
FY19,WE,Austria,S&T CAL Suites - ECAL,EPG Commercial,EA Subscription Non Recurring,18879.8525,,,22012.1841,0.0001,,20446.0183,,,20446.0183,,,,,,
FY19,WE,Austria,SharePoint for Internet Sites,EPG Commercial,EA Subscription Non Recurring,415.365,,,498.438,,,456.9015,,,456.9015,,,,,,
FY19,WE,Austria,SharePoint Server,EPG Commercial,EA Subscription Non Recurring,4943,,,5763.538,,7521.75,5353.269,,,5353.269,7658.88,3024.172,,,,
FY19,WE,Austria,SQL Server Premium,EPG Commercial,EA Subscription Non Recurring,27071.375,,,31578.6752,,270551.07,29325.0251,,,32958.3155,261846.592,81712.304,,,,
FY19,WE,Austria,SQL Server Standard & CAL,EPG Commercial,EA Subscription Non Recurring,27043.904,,2565.74,31530.722,4594.5357,23356.03,31584.625,5933.472,,31757.7258,51564.088,74223.858,,,,
FY19,WE,Austria,System Center Client,EPG Commercial,EA Subscription Non Recurring,3301.282,,,3850.5648,0.0002,1281.6,3575.9234,,,4949.6152,17041.4523,32375.6383,,,,
FY19,WE,Austria,System Center Server,EPG Commercial,EA Subscription Non Recurring,7945.8813,,,9265.5109,,14988.12,8605.6961,,,8605.6961,56972.864,15769.416,,,,
FY19,WE,Austria,Visio,EPG Commercial,EA Subscription Non Recurring,14133.75,,7044.8,16479.9526,,8726.46,15306.8513,,,15306.8513,2811.36,12882.092,,,,
FY19,WE,Austria,Windows Client,EPG Commercial,EA Subscription Non Recurring,34781.7533,,,40554.4749,,270213.63,37668.1141,,,52421.3011,181140.8858,345207.185,,,,
FY19,WE,Austria,Windows Server & Solutions & CAL,EPG Commercial,EA Subscription Non Recurring,1013.125,,519.2,1183.33,,80841.22,1098.2275,5421.504,,1098.2275,57549.76,41068.48,,,,
FY19,WE,Austria,Windows Server Other,EPG Commercial,EA Subscription Non Recurring,4619.15,,605.4,5380.4694,,51276.24,4999.8097,,,4999.8097,8208,58587.5,,,,
FY19,WE,Austria,Windows Server Premium,EPG Commercial,EA Subscription Non Recurring,11860,,,13805.04,,52267.14,12832.52,1295.424,,12832.52,52150.032,22470.256,,,,
FY19,WE,Austria,Biztalk Server,EPG Commercial,EA Subscription Recurring,12074.0904,,,,,,,,,,,,,,,
FY19,WE,Austria,Developer Tools,EPG Commercial,EA Subscription Recurring,445435.582,,,,,,,9954.144,,,,13704.12,,,,
FY19,WE,Austria,Exchange Server & CAL,EPG Commercial,EA Subscription Recurring,,,,,,,,858.872,,,,4857.12,,,,
